Depth,Partial Game States,Duplicate Game States,Dead End States,Solutions,Unique Solutions
Level,dec11
Seconds,32.9
Samples,10000
1,140000,0,0,0,0
2,87008,0,53,0,0
3,47655,1886,493,0,0
4,43602,888,1028,0,0
5,49237,1130,1051,0,0
6,47660,1292,1057,0,0
7,48028,1731,1378,0,0
8,52520,3900,4022,0,0
9,64945,13073,7387,0,0
10,77343,22830,10711,0,0
11,85965,26886,12042,0,0
12,82925,25829,10935,0,0
13,69493,20648,9795,0,0
14,50950,12282,6793,0,0
15,33230,4278,2795,0,0
16,26528,854,744,0,0
17,24891,205,231,0,0
18,23440,141,113,0,0
19,23842,170,24,0,0
20,24782,265,2,0,0
21,25803,450,0,253,3
22,25445,807,0,948,31
23,21496,1164,0,2193,186
24,14634,1129,0,2819,372
25,7289,648,0,2240,423
26,2584,216,0,1106,320
27,679,54,0,348,132
28,135,13,0,77,30
29,25,3,0,13,8
30,3,0,0,3,1
31,0,0,0,0,0

